artist_id,artist_name,total_followers,genres,popularity
0AuZVHIr5WSEBbBLZwWwWc,Charice,152869,"['dance pop', 'opm', 'post-teen pop', 'viral pop']",48
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,2096153,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",64
6jV25rzTKQ2zMgrqHha1V5,CHANYEOL,1664937,['k-pop'],59
7KMqksf0UMdyA0UCf4R3ux,James Blunt,2624952,"['neo mellow', 'pop', 'pop rock']",69
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,3635376,"['neo mellow', 'piano rock', 'pop', 'pop rock']",68
4kYGAK2zu9EAomwj3hXkXy,JP Cooper,761848,"['dance pop', 'neo mellow', 'pop', 'tropical house', 'uk pop']",69
6vWDO969PvNqNYHIOW5v0m,Beyoncé,31293237,"['dance pop', 'pop', 'r&b']",82
7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter,229838,"['canadian pop', 'neo mellow', 'pop rock']",58
11hIqBsGRPztdjBHCSLClX,Daniel Bedingfield,160501,"['dance pop', 'europop']",52
4KOFxteqSAveWCElBVijTy,Joshua Garcia,33537,[],20
1mcqfNCReSFxun2vIWvC28,KZ Tandingan,782891,['opm'],53
719ZCUqy59oGckcB1MzVTx,The Company,20826,[],38
4HOEnLufwAqJ2qoJPVnL01,Callalily,1248883,"['opm', 'pinoy rock']",51
7HJDRQAfEcFiARVehhM6qD,Gloc 9,1025139,"['opm', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",60
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,311420,"['hollywood', 'movie tunes']",62
5JZ7CnR6gTvEMKX4g70Amv,Lauv,5034121,"['dance pop', 'electropop', 'pop']",77
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,22211184,"['art pop', 'dance pop', 'pop']",83
4EzkuveR9pLvDVFNx6foYD,James Bay,3649717,"['neo mellow', 'pop', 'pop rock']",71
188VINPQh5dyNfLUkevKqf,Olivia Holt,1022156,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",51
7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,386330,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61
3zrUX1hQrUB9aXcOiyQLmN,Stanaj,60161,[],44
6kXm2YCtdUOpRYNKeKhfue,Ryan Gosling,39964,['hollywood'],53
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,2584330,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",66
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,4419837,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74
0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,454910,['opm'],46
49tQo2QULno7gxHutgccqF,LANY,4685868,"['la pop', 'pop']",74
6aLdhHUqgdKE86xbtNmY8g,Crush,1009101,"['k-pop', 'korean r&b']",64
64KEffDW9EtZ1y2vBYgq8T,Marshmello,33665276,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",81
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,161925,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",51
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,2470381,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",64
4lDBihdpMlOalxy1jkUbPl,Grey,68319,[],66
1tXFYQZSAswt4JLB42lpye,Sponge Cola,1019635,"['opm', 'pinoy reggae', 'pinoy rock']",55
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,10319520,"['latin', 'latin pop', 'puerto rican pop']",75
4U78sK2D3zASSB6oSR38GQ,Christian Bautista,429690,['opm'],53
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,9727009,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",77
58MLl9nC29IXbE4nEtuoP2,Alex & Sierra,1085948,"['neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",60
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,40264708,"['modern rock', 'rock']",87
5338fdSzGNOFD4cxAxDTeq,Aaron Carter,267628,"['dance pop', 'post-teen pop']",44
0c173mlxpT3dSFRgMO8XPh,Big Sean,9659672,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
4NagmapOfJiPOxJ9vQsrsf,Mikkel S. Eriksen,239,[],18
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,8118733,"['dance pop', 'pop', 'post-teen pop']",65
7LVPSD4kabI5LiXIVPI8tn,Jona,115269,['opm'],43
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,4147509,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",70
1DZGAZcaTA32eLJELEsjXY,Kiana V,42896,['pinoy indie'],43
4qBgvVog0wzW75IQ48mU7v,KYLE,1016363,"['pop', 'pop rap', 'rap']",66
2yEkZBBjhzKzt6LF5XMaFi,Blue,478705,"['boy band', 'dance pop', 'europop']",60
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,5265815,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",73
3Nrfpe0tUJi4K4DXYWgMUX,BTS,50027480,"['k-pop', 'k-pop boy group']",90
0dtmYDbYpwcdHPBI1OJatT,Hugh Grant,6579,['hollywood'],44
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,4520223,"['boy band', 'dance pop']",73
2XMxHczWkSzDDFhiC3zt8k,Marié Digby,68713,['lilith'],40
0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,273227,"['neo mellow', 'pop rock']",52
0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,141315,"['acoustic pop', 'neo mellow', 'opm', 'pop rock', 'viral pop']",56
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1781443,"['boy band', 'dance pop', 'post-teen pop']",65
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,385023,"['neo mellow', 'pop rock']",60
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,10842702,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",76
3QLIkT4rD2FMusaqmkepbq,Rachel Platten,843495,"['dance pop', 'neo mellow', 'pop', 'pop rock']",62
3z0IVhtuFvt9VYUZGT98PU,Jay R,138249,['opm'],44
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,13694763,"['dance pop', 'piano rock', 'pop', 'pop rock']",81
3FUY2gzHeIiaesXtOAdB7A,Train,4028908,"['dance pop', 'neo mellow', 'pop', 'pop rock']",72
0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,474886,['opm'],43
246dkjvS1zLTtiykXe5h60,Post Malone,36982080,"['dfw rap', 'melodic rap', 'rap']",87
23fqKkggKUBHNkbKtXEls4,Kygo,8036456,"['edm', 'pop', 'pop dance', 'tropical house']",79
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,21828773,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",81
09DdQEMQaaq0f99vqqub3V,krissy & ericka,24710,['acoustic opm'],45
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,16401903,"['art pop', 'pop']",84
2qxJFvFYMEDqd7ui6kSAcq,Zedd,5756407,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",75
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,11180000,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",80
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,2211484,"['contemporary country', 'country pop']",70
1bqxdqvUtPWZri43cKHac8,MAX,746774,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",68
163tK9Wjr9P9DmM0AVK7lm,Lorde,9514761,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",76
1RyvyyTE3xzB2ZywiAwp0i,Future,11580931,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",89
6LuN9FCkKOj5PcnpouEgny,Khalid,15268187,"['pop', 'pop r&b']",84
1xHQO9GJIW9OXHxGBISYc5,Marian Hill,454075,['electropop'],55
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,1024857,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance']",75
5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,460493,['opm'],53
4S9EykWXhStSc15wEx8QFK,Céline Dion,6119816,"['canadian pop', 'dance pop']",72
4N3cNXg5phUzRzuJYYxQlV,Emma Watson,75624,"['disney', 'hollywood', 'movie tunes', 'show tunes']",51
4tB1f1h4TQqDz4bNaibMpl,Emma Thompson,3261,['show tunes'],48
5lLVsxABqSuosfqAoLQeXV,Dan Stevens,5605,"['disney', 'hollywood', 'movie tunes', 'show tunes']",49
105Paee9vmV5rfLSG652e1,Ewan McGregor,29754,['hollywood'],52
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,24289957,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",86
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,34101107,"['dance pop', 'pop', 'uk pop']",88
2MoxYOhy9ooC8KRcdgIFif,Leroy Styles,3670,['dutch edm'],23
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,2057946,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house']",73
